id_department,department_name,terrain_area,old_antenna,new_antenna_type
11,Cesar,1146800,16,a
16,Guaviare,613400,30,e
28,Sucre,818800,21,a
1,Amazonas,44800,29,e
20,Meta,1353600,4,d
27,Santander,1285600,9,e
14,Cundinamarca,1308800,10,d
9,Casanare,593800,30,d
9,Casanare,473600,8,e
4,Atlantico,1280400,14,e
9,Casanare,431800,11,d
14,Cundinamarca,105800,16,e
18,La Guajira,663800,18,c
24,Quindio,1460600,7,a
13,Cordoba,1384400,0,c
26,San Andres y Providencia,1979400,0,b
11,Cesar,1685600,29,e
14,Cundinamarca,1457800,19,b
1,Amazonas,1807200,21,c
19,Magdalena,1630200,1,c
7,Caldas,725200,22,e
8,Caqueta,1242400,11,e
1,Amazonas,274400,25,a
23,Putumayo,1946600,5,c
6,Boyaca,2600,2,b
3,Arauca,420600,1,e
15,Guainia,144200,29,c
13,Cordoba,741000,15,c
11,Cesar,1518600,24,c
8,Caqueta,945000,9,c
23,Putumayo,1539600,28,b
14,Cundinamarca,445400,25,d
21,Narino,1641200,13,c
15,Guainia,1962400,5,c
7,Caldas,405200,12,b
16,Guaviare,183000,25,a
18,La Guajira,863600,14,d
26,San Andres y Providencia,1640200,9,b
1,Amazonas,587600,22,b
21,Narino,1636600,20,d
20,Meta,737800,15,b
3,Arauca,311000,15,e
24,Quindio,217600,29,d
15,Guainia,1124400,2,a
24,Quindio,915400,27,b
31,Vaupes,1322400,8,b
29,Tolima,1610800,16,a
18,La Guajira,659400,29,d
10,Cauca,1396800,4,d
3,Arauca,1376200,15,c
6,Boyaca,1528200,8,d
13,Cordoba,1366200,26,b
13,Cordoba,643800,17,c
23,Putumayo,139200,28,e
5,Bolivar,1101400,30,b
12,Choco,352200,21,b
26,San Andres y Providencia,466000,6,a
21,Narino,1223200,30,c
13,Cordoba,996600,5,e
32,Vichada,1752800,28,e
10,Cauca,1726400,16,d
12,Choco,447600,21,e
31,Vaupes,502200,8,c
22,Norte de Santander,579200,19,a
6,Boyaca,1500800,23,a
27,Santander,288000,29,a
31,Vaupes,681000,4,d
7,Caldas,1543400,11,e
31,Vaupes,1222000,11,b
1,Amazonas,1843400,4,c
10,Cauca,1387600,0,d
21,Narino,989600,24,e
5,Bolivar,1640400,22,c
18,La Guajira,868200,3,d
6,Boyaca,1566000,2,a
13,Cordoba,860400,8,d
22,Norte de Santander,1269600,18,b
27,Santander,900400,13,c
13,Cordoba,960600,13,e
6,Boyaca,712400,19,b
15,Guainia,1463200,29,a
17,Huila,1372000,7,d
20,Meta,940000,22,e
22,Norte de Santander,457400,19,d
16,Guaviare,1830800,27,c
25,Risaralda,1597200,0,c
20,Meta,385200,4,e
5,Bolivar,326400,27,b
9,Casanare,1766400,2,b
14,Cundinamarca,1915200,1,b
30,Valle del Cauca,1026600,21,a
26,San Andres y Providencia,28400,6,a
26,San Andres y Providencia,1265600,30,a
5,Bolivar,789000,14,e
29,Tolima,1769400,3,a
28,Sucre,1248000,13,b
24,Quindio,875000,16,a
31,Vaupes,998800,23,e
3,Arauca,218400,15,d
27,Santander,1611400,17,d
30,Valle del Cauca,1895800,22,e
25,Risaralda,483200,27,a
27,Santander,1691200,25,a
18,La Guajira,1548200,16,a
27,Santander,1024400,17,d
4,Atlantico,950000,11,c
22,Norte de Santander,203600,1,b
5,Bolivar,307800,25,e
31,Vaupes,475600,8,d
6,Boyaca,714800,24,c
17,Huila,1657400,18,e
31,Vaupes,1189200,18,c
5,Bolivar,470400,24,a
18,La Guajira,1883000,14,d
25,Risaralda,1091800,23,d
3,Arauca,306600,15,a
27,Santander,1127400,12,d
7,Caldas,1720800,20,b
17,Huila,168000,13,b
17,Huila,882400,2,b
21,Narino,1423200,11,c
12,Choco,1267800,22,c
6,Boyaca,684600,10,a
17,Huila,140800,9,d
9,Casanare,806600,29,a
9,Casanare,1326600,8,b
31,Vaupes,883400,12,b
18,La Guajira,496800,0,a
7,Caldas,323600,3,c
12,Choco,589000,28,b
7,Caldas,330000,3,d
20,Meta,1470200,26,e
14,Cundinamarca,838400,19,b
13,Cordoba,609200,25,a
25,Risaralda,710200,0,e
17,Huila,306800,28,a
20,Meta,643200,5,a
17,Huila,137400,18,d
17,Huila,1896400,21,e
11,Cesar,163800,22,c
21,Narino,1926000,21,b
25,Risaralda,1996200,16,d
12,Choco,1935800,5,a
